medicamento,componente,forma_farmaceutica,concentracao
"PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal PCDT Lúpus Eritematoso Sistêmico","Componente Especializado","","1A"
"Concentração/ Composição","Componente Especializado","","250 mg"
"Concentração/ Composição","Componente Especializado","comprimido",""
"Documento norteador1","Componente Especializado","","2"
"naproxeno","Componente Especializado","comprimido","500 mg"
"naproxeno","Componente Especializado","","2"
"natalizumabe","Componente Especializado","solução injetável","20 mg/mL"
"natalizumabe","Componente Especializado","","1A"
"nusinersena","Componente Especializado","solução injetável","2,4 mg/mL"
"nusinersena","Componente Especializado","","1A"
"Concentração/ Composição","Componente Especializado","","5 mg"
"Concentração/ Composição","Componente Especializado","comprimido",""
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","comprimido","olanzapina 10 mg"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","pó para solução injetável","150 mg"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1B"
"PCDT Asma","Componente Especializado","solução injetável","150 mg"
"PCDT Asma","Componente Especializado","","1B"
"PCDT Asma","Componente Especializado","suspensão injetável","2,0 x 1013 gv/mL"
"PCDT Asma","Componente Especializado","","1A"
"PCDT Atrofia Muscular Espinhal 5q tipos 1 e 2 (apenas para AME tipo 1)","Componente Especializado","pó para solução injetável","60 mg"
"PCDT Atrofia Muscular Espinhal 5q tipos 1 e 2 (apenas para AME tipo 1)","Componente Especializado","","2"
"Grupo de financiamento","Componente Especializado","pó para suspensão injetável","40 mg"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Acromegalia","Componente Especializado","pó para suspensão injetável","60 mg"
"PCDT Acromegalia","Componente Especializado","","1A"
"PCDT Acromegalia","Componente Especializado","cápsula","10.000 UI"
"PCDT Acromegalia","Componente Especializado","","1B"
"PCDT Fibrose Cística PCDT Insuficiência Pancreática Exócrina","Componente Especializado","cápsula","25.000 UI"
"PCDT Fibrose Cística PCDT Insuficiência Pancreática Exócrina","Componente Especializado","","1B"
"paricalcitol","Componente Especializado","solução injetável","5 mcg/mL"
"paricalcitol","Componente Especializado","","1A"
"penicilamina","Componente Especializado","cápsula","250 mg"
"penicilamina","Componente Especializado","","1B"
"PCDT Doença de Wilson","Componente Especializado","comprimido","10 mg"
"PCDT Doença de Wilson","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","20 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","40 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"Grupo de financiamento","Componente Especializado","comprimido","100 mg"
"Grupo de financiamento","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","comprimido","250 mg"
"PCDT Epilepsia","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","creme","0,5 mg/g"
"PCDT Epilepsia","Componente Especializado","","2"
"PCDT Psoríase","Componente Especializado","solução capilar","0,5 mg/g"
"PCDT Psoríase","Componente Especializado","","2"
"ravulizumabe","Componente Especializado","solução para diluição para infusão","100 mg/mL"
"ravulizumabe","Componente Especializado","","1A"
"riluzol","Componente Especializado","comprimido","50 mg"
"riluzol","Componente Especializado","","1A"
"risanquizumabe","Componente Especializado","solução injetável","75 mg/0,83 mL"
"risanquizumabe","Componente Especializado","","1A"
"risdiplam","Componente Especializado","pó para solução oral","0,75 mg/mL"
"risdiplam","Componente Especializado","","1A"
"risedronato sódico","Componente Especializado","comprimido","35 mg"
"risedronato sódico","Componente Especializado","","2"
"Grupo de financiamento","Componente Especializado","solução oral","1 mg/mL"
"Grupo de financiamento","Componente Especializado","","1B"
"PCDT Comportamento Agressivo no Transtorno do Espectro do Autismo","Componente Especializado","","1B"
"PCDT Comportamento Agressivo no Transtorno do Espectro do Autismo PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1B"
"PCDT Comportamento Agressivo no Transtorno do Espectro do Autismo PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1B"
"PCDT Comportamento Agressivo no Transtorno do Espectro do Autismo PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1A"
"PCDT Artrite Reumatoide PCDT Vasculites Associadas aos Anticorpos Anticitoplasma de Neutrófilos (Anca)","Componente Especializado","comprimido","1 mg"
"PCDT Artrite Reumatoide PCDT Vasculites Associadas aos Anticorpos Anticitoplasma de Neutrófilos (Anca)","Componente Especializado","","risperidona 2 mg"
"rituximabe","Componente Especializado","comprimido",""
"rituximabe","Componente Especializado","comprimido","3 mg"
"rituximabe","Componente Especializado","solução para diluição para infusão","10 mg/mL"
"Grupo de financiamento","Componente Especializado","cápsula","1,5 mg"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","cápsula","3 mg"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","","1A"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","cápsula","4,5 mg"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","","1A"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","cápsula","6 mg"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","","1A"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","solução oral","2 mg/mL"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","","1B"
"PCDT Doença de Alzheimer","Componente Especializado","adesivo transdérmico","9 mg"
"PCDT Doença de Alzheimer","Componente Especializado","","1A"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","adesivo transdérmico","18 mg"
"PCDT Doença de Alzheimer PCDT Doença de Parkinson","Componente Especializado","","1A"
"romosozumabe","Componente Especializado","solução injetável","90 mg/mL"
"romosozumabe","Componente Especializado","","1A"
"sacarato de hidróxido férrico","Componente Especializado","solução injetável","20 mg/mL"
"sacarato de hidróxido férrico","Componente Especializado","","1B"
"Grupo de financiamento","Componente Especializado","comprimido","50 mg"
"Grupo de financiamento","Componente Especializado","","1B"
"PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida","Componente Especializado","comprimido","100 mg"
"PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida","Componente Especializado","","1B"
"PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida","Componente Especializado","comprimido","200 mg"
"PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida","Componente Especializado","","1B"
"PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida","Componente Especializado","solução injetável","150 mg/mL"
"PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida","Componente Especializado","","1A"
"PCDT Artrite Psoríaca PCDT Espondilite Ancilosante PCDT Psoríase","Componente Especializado","comprimido","200 mcg"
"PCDT Artrite Psoríaca PCDT Espondilite Ancilosante PCDT Psoríase","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","400 mcg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","600 mcg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","800 mcg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","1.000 mcg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","1.200 mcg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","1.400 mcg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","1.600 mcg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"Concentração/ Composição","Componente Especializado","","1 mg"
"Concentração/ Composição","Componente Especializado","comprimido",""
"Grupo de financiamento","Componente Especializado","","1A"
"Documento norteador1","Componente Especializado","comprimido","2 mg"
"Documento norteador1","Componente Especializado","","1A"
"PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal PCDT Linfangioleiomiomatose","Componente Especializado","solução injetável","4 UI"
"PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal PCDT Linfangioleiomiomatose","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","pó para solução injetável","4 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","solução injetável","12 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","pó para solução injetável","12 UI"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","solução injetável","15 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","pó para solução injetável","15 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","solução injetável","16 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","pó para solução injetável","16 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","solução injetável","18 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","pó para solução injetável","18 UI"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","solução injetável","24 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","pó para solução injetável","24 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","solução injetável","30 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","pó para solução injetável","30 UI"
"PCDT Deficiência do Hormônio de Crescimento PCDT Síndrome de Turner","Componente Especializado","","1A"
"Concentração/ Composição","Componente Especializado","","500 mg"
"Concentração/ Composição","Componente Especializado","","500 mg"
"Concentração/ Composição","Componente Especializado","","400 mg"
"Concentração/ Composição","Componente Especializado","pó para solução injetável",""
"Concentração/ Composição","Componente Especializado","comprimido",""
"Concentração/ Composição","Componente Especializado","comprimido",""
"Documento norteador1","Componente Especializado","","2"
"PCDT Doença de Crohn PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal PCDT Uveítes não Infecciosas","Componente Especializado","","2"
"PCDT Artrite Idiopática Juvenil PCDT Artrite Psoríaca PCDT Artrite Reativa PCDT Artrite Reumatoide PCDT Doença de Crohn PCDT Espondilite Ancilosante PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"Grupo de financiamento","Componente Especializado","solução injetável","10 mg/mL"
"Grupo de financiamento","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","solução oral","10 mg/mL"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","comprimido","10 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","comprimido","30 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","cápsula de liberação prolongada","30 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","cápsula de liberação prolongada","60 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","cápsula de liberação prolongada","100 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"Concentração/ Composição","Componente Especializado","","1 mg"
"Concentração/ Composição","Componente Especializado","cápsula",""
"Documento norteador1","Componente Especializado","","1A"
"tacrolimo","Componente Especializado","cápsula","5 mg"
"tacrolimo","Componente Especializado","","1A"
"tafamidis","Componente Especializado","cápsula","61 mg"
"tafamidis","Componente Especializado","","1A"
"tafamidis meglumina","Componente Especializado","cápsula","20 mg"
"tafamidis meglumina","Componente Especializado","","1A"
"tartarato de brimonidina","Componente Especializado","solução oftálmica","2 mg/mL (0,2%)"
"tartarato de brimonidina","Componente Especializado","","2"
"teriflunomida","Componente Especializado","comprimido","14 mg"
"teriflunomida","Componente Especializado","","1A"
"tobramicina","Componente Especializado","solução inalatória","300 mg"
"tobramicina","Componente Especializado","","1A"
"tocilizumabe","Componente Especializado","solução injetável","20 mg/mL"
"tocilizumabe","Componente Especializado","","1A"
"Documento norteador1","Componente Especializado","comprimido","5 mg"
"Documento norteador1","Componente Especializado","","1A"
"PCDT Artrite Psoríaca PCDT Artrite Reumatoide PCDT Retocolite Ulcerativa","Componente Especializado","comprimido","25 mg"
"PCDT Artrite Psoríaca PCDT Artrite Reumatoide PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","comprimido","50 mg"
"PCDT Epilepsia","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","comprimido","100 mg"
"PCDT Epilepsia","Componente Especializado","","2"
"Grupo de financiamento","Componente Especializado","pó para solução injetável","100 U"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Distonias e Espasmo Hemifacial PCDT Espasticidade","Componente Especializado","pó para solução injetável","500 U"
"PCDT Distonias e Espasmo Hemifacial PCDT Espasticidade","Componente Especializado","","1A"
"PCDT Distonias e Espasmo Hemifacial PCDT Espasticidade","Componente Especializado","solução oftálmica","0,04 mg/mL (0,004%)"
"PCDT Distonias e Espasmo Hemifacial PCDT Espasticidade","Componente Especializado","","1A"
"PCDT Glaucoma","Componente Especializado","pó para suspensão injetável de liberação prolongada","3,75 mg"
"PCDT Glaucoma","Componente Especializado","","1B"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","comprimido de liberação prolongada","15 mg"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","solução injetável","45 mg/0,5 mL"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Doença de Crohn PCDT Psoríase","Componente Especializado","solução injetável","130 mg"
"PCDT Doença de Crohn PCDT Psoríase","Componente Especializado","","1A"
"vedolizumabe","Componente Especializado","pó para solução injetável","300 mg"
"vedolizumabe","Componente Especializado","","1A"
"vigabatrina","Componente Especializado","comprimido","500 mg"
"vigabatrina","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","","2"
"xinafoato de salmeterol","Componente Especializado","pó inalatório","50 mcg"
"Concentração/ Composição​","Relação Nacional de Insumos","",""
"Concentração/ Composição​","Relação Nacional de Insumos","solução injetável 5 mL","solução injetável 5 mL"
"V07AB","Relação Nacional de Insumos","",""
"V07AB","Relação Nacional de Insumos","solução injetável 10 mL","solução injetável 10 mL"
"V07AB","Relação Nacional de Insumos","",""
"V07AB","Relação Nacional de Insumos","solução injetável 100 mL","solução injetável 100 mL"
"V07AB","Relação Nacional de Insumos","",""
"V07AB","Relação Nacional de Insumos","solução injetável 500 mL","solução injetável 500 mL"
"V07AB","Relação Nacional de Insumos","",""
"V07AB","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"Código ATC","Relação Nacional de Insumos","gel","70%"
"D08AX08","Relação Nacional de Insumos","solução","70%"
"caneta para aplicação de insulina","Relação Nacional de Insumos","",""
"caneta para aplicação de insulina","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","","60 mm de diâmetro"
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","","65 mm de diâmetro"
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","","70 mm de diâmetro"
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","","75 mm de diâmetro"
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","","80 mm de diâmetro"
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","","85 mm de diâmetro"
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"dispositivo intrauterino plástico com cobre (DIU)","Relação Nacional de Insumos","",""
"glutaral","Relação Nacional de Insumos","solução","0,02"
"Vários","Relação Nacional de Insumos","",""
"hipoclorito de sódio","Relação Nacional de Insumos","solução","10 mg/mL (1%)"
"Vários","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","solução para uso tópico",""
"iodo + iodeto de potássio","Relação Nacional de Insumos","","20 mg/mL + 40 mg/mL"
"lancetas para punção digital","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"seringas com agulha acoplada para aplicação de insulina","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
"tiras reagentes de medida de glicemia capilar","Relação Nacional de Insumos","",""
"Vários","Relação Nacional de Insumos","",""
