medicamento,componente,forma_farmaceutica,concentracao
"bedaquilina","Componente Estratégico","comprimido","100 mg"
"benzilpenicilina benzatina","Componente Estratégico","pó para suspensão injetável","1.200.000 UI"
"benzilpenicilina potássica","Componente Estratégico","pó para solução injetável","5.000.000 UI"
"benzilpenicilina potássica","Componente Estratégico","comprimido","12,5 mg"
"benzilpenicilina potássica","Componente Estratégico","comprimido","100 mg"
"capreomicina","Componente Estratégico","pó para solução injetável","1g"
"citrato de dietilcarbamazina","Componente Estratégico","comprimido","50 mg"
"claritromicina","Componente Estratégico","comprimido","500 mg"
"claritromicina","Componente Estratégico","cápsula","50 mg"
"claritromicina","Componente Estratégico","cápsula","100 mg"
"cloranfenicol","Componente Estratégico","suspensão oral","25 mg/mL"
"cloridrato de bupropiona","Componente Estratégico","comprimido de liberação prolongada","150 mg"
"cloridrato de doxiciclina","Componente Estratégico","comprimido","100 mg"
"cloridrato de etambutol","Componente Estratégico","comprimido","400 mg"
"cloridrato de hidroxocobalamina","Componente Estratégico","pó para solução injetável","5g"
"cloridrato de minociclina","Componente Estratégico","comprimido","100 mg"
"cloridrato de moxifloxacino","Componente Estratégico","comprimido","400 mg"
"cloridrato de piridoxina","Componente Estratégico","comprimido","50 mg"
"complexo protrombínico humano","Componente Estratégico","pó para solução injetável","500 UI"
"complexo protrombínico humano","Componente Estratégico","pó para solução injetável","600 UI"
"complexo protrombínico humano","Componente Estratégico","pó para solução injetável","500 UI"
"complexo protrombínico humano","Componente Estratégico","pó para solução injetável","1.000 UI"
"complexo protrombínico humano","Componente Estratégico","pó para solução injetável","2.500 UI"
"complexo protrombínico humano","Componente Estratégico","comprimido","30 mg"
"complexo protrombínico humano","Componente Estratégico","comprimido","60 mg"
"complexo protrombínico humano","Componente Estratégico","comprimido","50 mg*"
"complexo protrombínico humano","Componente Estratégico","comprimido","100 mg"
"complexo protrombínico humano","Componente Estratégico","comprimido","75 mg"
"complexo protrombínico humano","Componente Estratégico","comprimido","150 mg"
"complexo protrombínico humano","Componente Estratégico","comprimido","600 mg"
"complexo protrombínico humano","Componente Estratégico","comprimido","800mg"
"delamanida","Componente Estratégico","comprimido","50 mg"
"dicloridrato de sapropterina","Componente Estratégico","comprimido","100 mg"
"difosfato de cloroquina","Componente Estratégico","comprimido","150 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","15 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","5 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","50 mg"
"Concentração/ Composição​","Componente Estratégico","comprimidos dispersíveis","5mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","50mg + 300mg"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","100 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido solúvel","100 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","600 mg"
"Concentração/ Composição​","Componente Estratégico","cápsula","200 mg"
"Concentração/ Composição​","Componente Estratégico","solução oral","30 mg/mL"
"Concentração/ Composição​","Componente Estratégico","comprimido","50 mg + 100 mg"
"Concentração/ Composição​","Componente Estratégico","solução injetável","30 mg/mL"
"Concentração/ Composição​","Componente Estratégico","solução injetável","150 mg /mL"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","108 mg (90 mg/mL após reconstituição)"
"Concentração/ Composição​","Componente Estratégico","comprimido","0,5 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","1 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","1.500.000 UI"
"Concentração/ Composição​","Componente Estratégico","comprimido","500 mg"
"Concentração/ Composição​","Componente Estratégico","suspensão oral continua","50 mg/mL"
"Concentração/ Composição​","Componente Estratégico","comprimido","250 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","100 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","200 mg"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","200 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","250 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","500 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","600 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","1.000 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","1.200 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","1 mg (50.000 UI)"
